السبب/الوجه المرشّح,المصدر,وسم آلي,وسم مراجعة
التوصية الأولى ـ تجهيز عريضة نقض موضوعية مركّبة على ثلاث محاور رئيسة: (أ) محور التعارض الداخلي في تقرير الخبير المعتمد، ودلالته على أن الحكم بُني على دليل ينقض نفسه؛ (ب) محور القصور في التسبيب وإغفال المستندات الجوهرية (KPMG، اتفاقية الصلح، حقيقة ملكية شركة الأولاده)؛ (ج) محور خرق قاعدة الحجية الزمنية باعتماد دليل لاحق على واقعة البيع وإهمال دليل أقرب زماناً. مع تخصيص فصل مستقل لكل محور وربطه بالنصوص النظامية ذات الصلة (المواد 184، 200، و212 من نظام المرافعات الشرعية).,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
التوصية الثانية ـ الدفع بحجية الشيء المحكوم فيه: سبق الفصل في دعوى رفض الولاية بصك (33286392) في 08/06/1433هـ بأن المورث «قادر على القيام بشؤونه» وقت قريب من البيع، وهي حجية قضائية على المسألة العقلية. ينبغي بناء دفع مستقل بأن إعادة طرح ذات الواقعة (إدراك المورث وقت البيع) في الدعوى الراهنة يخرق الحجية وفق المادة (184) من نظام المرافعات الشرعية ـ وهو سبب نقض بحت لا يحتاج لإعادة تقييم وقائع.,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
التوصية الثالثة ـ تفعيل مذكرة «تناقض الحكم» الإلحاقية الموثّقة في 28/01/2026م: هذه المذكرة في ملف القضية تكشف إقراراً قضائياً ضمنياً بوجود تناقضات في سلسلة الأحكام، وهي مدخل نظامي لطعن «تعارض الأحكام» المنفصل عن طعن النقض المعتاد. يُوصى ببناء مذكرة مستقلة موجهة إلى المحكمة العليا تستثمر هذه المذكرة وتربطها بالحكمين المتعارضين في مسألة تنفيذ السيدة عاتقة (13/04/1447هـ و22/07/1447هـ).,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
التوصية الرابعة ـ طلب ضم تقرير أبو غزالة النهائي الكامل ومرفقاته إلى ملف النقض: التقرير المحفوظ ضمن ملف ناجز يحوي «جدول الشركاء بتاريخ 31/3/2011م» الذي يثبت أن المورث ليس شريكاً وقت التقرير. ضمّ هذا المستند بنصه الأصلي ـ لا اقتباساً منه ـ والاستشهاد به في مرافعة النقض يقلب طاولة الادعاء بقوة وثيقتها الأصلية ذاتها. ويُوصى أيضاً بطلب ضم تقرير العيوطي ومحضر اجتماع تقسيم شركات آبار وزيني.,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
التوصية الخامسة ـ مسار قانوني مواز لتأمين الأدلة المفقودة من القائمة الحمراء: تأمين تقرير كي بي إم جي رسمياً من المكتب نفسه؛ ومخاطبة المستشفيات الثلاثة (الصحة النفسية، الملك عبدالعزيز، السعودي الألماني) للحصول على أصول التقارير الطبية الأربعة كمحررات مستقلة معتمدة؛ وطلب صورة من خطاب وزير العدل رقم (21/567889/33) من ديوان الوزارة لإثبات وجوده. وتقديم هذه المستندات الأصلية ضمن طلب النقض الأخير المؤرخ 07/10/1447هـ.,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
التوصية السادسة ـ معالجة منفصلة لمسار تنفيذ السيدة/ عاتقة بعد النقض في 22/07/1447هـ: الحكم الصادر بنقض إبراء الذمة من تنفيذ الوالدة فتح مساراً مستقلاً يستوجب: (أ) دراسة الحكم الناقض وأسبابه؛ (ب) بناء دفع موضوعي على ضوء صدور صك ولايتها لاحقاً لتوقيع البراءة (24/04/1446هـ مقابل 25/08/1445هـ)؛ (ج) النظر في طريق طعن مستقل عليه ضمن مواعيد النظام، مع المحافظة على عدم تشابك هذا المسار مع طعن النقض الأصلي.,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
التوصية السابعة ـ تجهيز مذكرة مفصّلة عن واقعة حضور السيدة/ عاتقة الجلسات: الجلسة المنعقدة في 02/11/1443هـ ـ بنص ضبطها ضمن صك الدرجة الأولى ـ تشير إلى غياب الوالدة لكونها خارج المملكة. ينبغي توثيق ذلك مع باقي جلسات غيابها، وبناء دفع جوهري بأن خصومتها كانت اسمية لا حقيقية، مما يفتح باب الدفع ببطلان الإجراءات الصادرة باسمها.,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
التوصية الثامنة ـ توثيق مسار الشكاوى الإدارية والتفتيشية في ملف النقض الجاري: الست شكاوى المقدمة لوزير العدل ومجلس القضاء الأعلى والديوان الملكي وولي العهد ـ وإن لم تكن نقطة طعن قضائي مباشرة ـ توثّق مهنياً جدية النزاع وقدْم الموكل بـ«حسن نية إجرائية» متواصلة. يُوصى بإرفاق سجل موجز بهذه الشكاوى ضمن ملحقات النقض كقرينة على عمق التظلم لا للاستدلال الموضوعي.,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
التوصية التاسعة ـ خط دفاع احتياطي بالتعويض المقابل: في حال تأييد الحكم النهائي ـ لا قدّر الله ـ يُحضّر مسار مواز لمطالبة عكسية بتعويض الموكل عن نفقات إدارة الشركات وأموال المورث على مدى عقود (وفق البندين خامساً وسادساً من عقد البيع المتضمن إقرار المورث ذاته)، ومن سداد مديونيات المورث للبنوك (وفق تقرير KPMG)، ومن قيمة مكافأة الإدارة المتفق عليها (10 ملايين ريال). هذه المطالبة المقابلة قد ترفع ـ في أفضل الأحوال ـ إلى المقاصة الكاملة مع المبلغ المحكوم به.,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
م | اسم المستند | التاريخ | الرابط,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
"1 | عقد البيع المؤرخ في 20/09/1431هـ بخصوص بيع حصص المورث في شركة ""أحمد زيني التجارية"" سجل تجاري رقم (4030169102) المبرم بين السيد/ أسامة زيني والمورث. | 20/09/1431هـ | فتح الملف",توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
2 | قرار الشركاء بتعديل بعض بنود عقد تأسيس شركة أحمد زيني التجارية المؤرخ في 20/09/1431هـ الموافق 30/08/2010م. [قد يقابله ملحق التنازل المتوفر في Drive ـ يلزم التحقق] | 20/09/1431هـ | غير متوفر,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
3 | صك الحكم رقم (4431025114) وتاريخ 1/1/1445هـ الصادر عن الدائرة الأولى بالمحكمة التجارية بجدة في الدعوى المقيدة برقم (42824717) وتاريخ 25/12/1442هـ | 1/1/1445هـ | فتح الملف,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
4 | صك الحكم رقم (4530241622) وتاريخ 13/03/1445هـ، الصادر عن دائرة الاستئناف الثانية بالمحكمة التجارية بجدة، والقاضي بتأييد ما جاء به صك الدرجة الأولى رقم (4431025114) وتاريخ 1/1/1445هـ الصادر عن الدائرة الأولى بالمحكمة التجارية بجدة في الدعوى المقيدة برقم (42824717) وتاريخ 25/12/1442هـ | 13/03/1445هـ | فتح الملف,توصيات السير في طعن النقض,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
