التاريخ,مفتاح الترتيب,الملف المصدر,نوع المستند,المسار,وسم آلي,وسم مراجعة
08/04/1445,0,أمر تنفيذ الوالدة عاتقة ضد الشيخ أسامة ـ 401024501240718 ـ 08-04-1445 ـ منتهي,محضر,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
16/03/1445,0,أمر تنفيذ عدنان زيني ضد الشيخ أسامة ـ 401024501215577 ـ 16-03-1445,إخطار مطالبة,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
10/02/1438,0,حكم القاضي الدعيلج بإرجاع القضية رقم 3218883 ـ 25-10-1438,حكم / صك,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
04/03/1432,0,حكم القاضي الدعيلج بإرجاع القضية رقم 3218883 ـ 25-10-1438,حكم / صك,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
23/12/1434,0,حكم القاضي الدعيلج بإرجاع القضية رقم 3218883 ـ 25-10-1438,حكم / صك,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
22/7/1435,0,حكم القاضي الدعيلج بإرجاع القضية رقم 3218883 ـ 25-10-1438,حكم / صك,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
03/09/1435,0,حكم القاضي الدعيلج بإرجاع القضية رقم 3218883 ـ 25-10-1438,حكم / صك,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
20/9/1431,0,حكم القاضي الدعيلج بإرجاع القضية رقم 3218883 ـ 25-10-1438,حكم / صك,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
4/3/1432,0,حكم القاضي الدعيلج بإرجاع القضية رقم 3218883 ـ 25-10-1438,حكم / صك,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
26/7/1434,0,حكم القاضي الدعيلج بإرجاع القضية رقم 3218883 ـ 25-10-1438,حكم / صك,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
26/07/1434,0,حكم القاضي الدعيلج بإرجاع القضية رقم 3218883 ـ 25-10-1438,حكم / صك,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
02/02/1438,0,حكم القاضي الدعيلج بإرجاع القضية رقم 3218883 ـ 25-10-1438,حكم / صك,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
25/10/1438,0,حكم القاضي الدعيلج بإرجاع القضية رقم 3218883 ـ 25-10-1438,حكم / صك,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
10 / 2 / 1438,0,محضر جلسة دعوى عدنان ضد أسامة,محضر,أ. المجلد الرئيسي للقضية (39 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
20 / 3 / 1445,0,التماس على الحكم النهائي ـ دائرة الاستئناف الثانية,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
26/11/1431,0,التماس على الحكم النهائي ـ دائرة الاستئناف الثانية,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
29/02/1435,0,التماس على الحكم النهائي ـ دائرة الاستئناف الثانية,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
10/02/1438,0,حكم الدعيلج بإرجاع القضية 3218883 ـ نسخة,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
04/03/1432,0,حكم الدعيلج بإرجاع القضية 3218883 ـ نسخة,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
23/12/1434,0,حكم الدعيلج بإرجاع القضية 3218883 ـ نسخة,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
22/7/1435,0,حكم الدعيلج بإرجاع القضية 3218883 ـ نسخة,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
03/09/1435,0,حكم الدعيلج بإرجاع القضية 3218883 ـ نسخة,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
20/9/1431,0,حكم الدعيلج بإرجاع القضية 3218883 ـ نسخة,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
4/3/1432,0,حكم الدعيلج بإرجاع القضية 3218883 ـ نسخة,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
26/7/1434,0,حكم الدعيلج بإرجاع القضية 3218883 ـ نسخة,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
26/07/1434,0,حكم الدعيلج بإرجاع القضية 3218883 ـ نسخة,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
02/02/1438,0,حكم الدعيلج بإرجاع القضية 3218883 ـ نسخة,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
25/10/1438,0,حكم الدعيلج بإرجاع القضية 3218883 ـ نسخة,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
03 / 06 / 1447,0,حكم نهائي بنقض حكم ابراء ذمة الشيخ أسامة من طلب تنفيذ الوالدة عاتقة الحرازي - 22-07-1447 ـ 4771864931.pdf,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
25/08/1445,0,حكم نهائي بنقض حكم ابراء ذمة الشيخ أسامة من طلب تنفيذ الوالدة عاتقة الحرازي - 22-07-1447 ـ 4771864931.pdf,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
24/04/1446,0,حكم نهائي بنقض حكم ابراء ذمة الشيخ أسامة من طلب تنفيذ الوالدة عاتقة الحرازي - 22-07-1447 ـ 4771864931.pdf,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
23-09-1445,0,مذكرة النقض للعليا 23-09-1445 ـ مرفق حكم التخارج,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
06 / 03 / 1445,0,مذكرة توضيحية من المدعي ـ 06-03-1445,مذكرة قضائية,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
28 / 08 / 1447,0,مذكرة جوابية من المدعي ـ 28-08-1447,مذكرة قضائية,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
07 - 11 - 1432,0,مذكرة جوابية من عدنان وعاتقة ـ 16-11-1444 ـ مرفق تقييم,تقرير خبرة,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
2/15/ 1392,0,مذكرة طلب النقض على الحكم النهائي,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
11/ 2 / 1434,0,مذكرة طلب النقض على الحكم النهائي,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
10/ 2 / 1434,0,مذكرة طلب النقض على الحكم النهائي,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
2/ 2 / 1434,0,مذكرة طلب النقض على الحكم النهائي,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
1/6/1442,0,مذكرة طلب النقض على الحكم النهائي,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
10 / 5 / 1436,0,مذكرة طلب النقض على الحكم النهائي,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
8/ 2 / 1432,0,مذكرة طلب النقض على الحكم النهائي,حكم / صك,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
20-02-1445,0,مذكرة من المحامي السديري 20-02-1445 ـ الاعتراض على تقرير ابو غزالة.pdf,مذكرة قضائية,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
12/3/ 1429,0,مرفق 1 ـ مذكرة عزام خوج ـ 05-07-1434,مذكرة قضائية,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
2/15/ 1392,0,مرفق 1 ـ مذكرة عزام خوج ـ 05-07-1434,مذكرة قضائية,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
12/3/ 1429,0,مرفق 3 ـ مذكرة أبو راشد ـ 23-01-1443,مذكرة قضائية,ب. المذكرات المقدمة من الطرفين (49 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
10/ 2/ 1438,0,ضبط جلسة رقم 32 يوم 24-11-1444 هـ للقضية رقم 42824717.pdf,محضر,ج. محاضر ضبط الجلسات (16 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
12/5/1438,0,ضبط جلسة رقم 33 يوم 02-12-1444 هـ للقضية رقم 42824717.pdf,محضر,ج. محاضر ضبط الجلسات (16 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
02-12-1444,0,ضبط جلسة رقم 33 يوم 02-12-1444 هـ للقضية رقم 42824717.pdf,محضر,ج. محاضر ضبط الجلسات (16 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
18/11/1393,0,ضبط جلسة رقم 34 يوم 12-02-1445 هـ للقضية رقم 42824717 .pdf,محضر,ج. محاضر ضبط الجلسات (16 ملفاً),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
10-07-1434,0,سداد عقد المحاصة (Excel),عقد / اتفاقية,ح. مرفقات مصروفات الشيخ أحمد وقت الحجز (3 ملفات + 3 مجلدات داخلية),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
02/11/1435,0,المسحوبات 1436 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
02/10/1435,0,المسحوبات 1436 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
23/06/1435,0,المسحوبات 1436 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
20/03/1435,0,المسحوبات 1436 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
08/02/1435,0,المسحوبات 1436 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
25/12/1434,0,المسحوبات 1436 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
08/04/1434,0,المسحوبات 1436 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
12/03/1434,0,المسحوبات 1436 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
14/11/1433,0,المسحوبات 1436 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
21/07/1436,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
19/09/1436,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
29/11/1436,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
29/03/1436,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
06/01/1437,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
18/05/1433,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
21/03/1437,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
16/03/1436,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
02/11/1435,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
02/10/1435,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
23/06/1435,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
20/03/1435,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
13/02/1435,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
08/02/1435,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
25/12/1434,0,المسحوبات 2015 (zip),عقد / اتفاقية,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
06-10-1431,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
10-10-1431,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
20-10-1431,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
26-10-1431,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
13-01-1430,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
02-12-1431,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
22-12-1431,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
29-12-1431,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
15-01-1432,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
21-01-1432,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
22-01-1432,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
29-01-1432,0,ملف المسحوبات (Excel),وكالة,ح-1. المسحوبات (8 ملفات),[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
