fid,title,صفحة,كلمات,نسبة عربية,رموز,جودة,تقدير,خطر
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,37,210,1.024,0,83.3,ممتازة,16.7
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,38,514,1.017,0,85.0,ممتازة,15.0
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,39,512,1.02,0,85.1,ممتازة,14.9
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,40,502,1.013,0,85.7,ممتازة,14.3
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,41,520,1.017,0,85.0,ممتازة,15.0
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,42,697,1.009,0,85.5,ممتازة,14.5
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,43,626,1.014,0,85.8,ممتازة,14.2
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,44,326,1.025,0,84.1,ممتازة,15.9
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,45,174,1.031,0,81.9,ممتازة,18.1
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,46,434,1.041,0,87.2,ممتازة,12.8
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,47,564,1.023,0,85.2,ممتازة,14.8
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,48,566,1.01,0,84.4,ممتازة,15.6
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,49,588,1.015,0,85.8,ممتازة,14.2
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,50,415,1.022,0,86.2,ممتازة,13.8
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,51,147,1.056,0,88.1,ممتازة,11.9
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,52,476,1.028,0,85.5,ممتازة,14.5
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,53,472,1.017,0,83.2,ممتازة,16.8
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,54,625,1.014,0,85.8,ممتازة,14.2
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,55,559,1.018,0,83.3,ممتازة,16.7
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,56,565,1.009,0,85.5,ممتازة,14.5
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,57,597,1.011,0,84.4,ممتازة,15.6
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,58,618,1.018,0,86.0,ممتازة,14.0
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,59,625,1.012,0,85.7,ممتازة,14.3
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,60,363,1.027,0,83.6,ممتازة,16.4
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,61,100,1.052,0,87.8,ممتازة,12.2
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,62,1065,1.012,0,82.1,ممتازة,17.9
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,63,1473,1.013,0,84.1,ممتازة,15.9
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,64,1417,1.007,0,84.6,ممتازة,15.4
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,65,1385,1.012,0,84.1,ممتازة,15.9
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,66,966,1.018,0,86.0,ممتازة,14.0
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,67,226,1.009,0,85.5,ممتازة,14.5
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,68,263,1.016,0,85.9,ممتازة,14.1
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,69,308,1.02,0,84.4,ممتازة,15.6
1ihfw9lQ,عقود تعيين الشيخ أسامة في إدارة الشركات,70,142,1.058,0,88.2,ممتازة,11.8
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,1,365,1.029,0,86.6,ممتازة,13.4
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,2,401,1.012,0,82.8,ممتازة,17.2
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,3,419,1.019,0,86.0,ممتازة,14.0
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,4,422,1.013,0,84.1,ممتازة,15.9
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,5,432,1.007,0,85.4,ممتازة,14.6
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,6,406,1.01,0,83.9,ممتازة,16.1
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,7,404,1.022,0,86.2,ممتازة,13.8
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,8,339,1.034,0,85.2,ممتازة,14.8
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,9,448,1.015,0,85.8,ممتازة,14.2
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,10,443,1.01,0,84.0,ممتازة,16.0
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,11,413,1.018,0,86.0,ممتازة,14.0
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,12,448,1.012,0,85.7,ممتازة,14.3
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,13,179,1.014,0,81.2,ممتازة,18.8
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,14,484,1.006,0,85.4,ممتازة,14.6
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,15,48,1.158,0,83.5,ممتازة,16.5
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,16,267,1.015,0,85.8,ممتازة,14.2
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,17,318,1.031,0,86.7,ممتازة,13.3
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,18,369,1.016,0,85.9,ممتازة,14.1
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,19,278,1.035,0,86.9,ممتازة,13.1
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,20,237,1.014,0,84.0,ممتازة,16.0
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,21,363,1.014,0,84.2,ممتازة,15.8
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,22,395,1.014,0,84.3,ممتازة,15.7
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,23,362,1.02,0,86.1,ممتازة,13.9
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,24,313,1.023,0,84.6,ممتازة,15.4
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,25,309,1.014,0,84.1,ممتازة,15.9
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,26,315,1.032,0,85.1,ممتازة,14.9
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,27,327,1.02,0,86.1,ممتازة,13.9
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,28,388,1.005,0,85.3,ممتازة,14.7
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,29,364,1.006,0,85.3,ممتازة,14.7
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,30,356,1.005,0,85.3,ممتازة,14.7
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,31,216,1.006,0,85.3,ممتازة,14.7
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,32,366,1.004,0,82.1,ممتازة,17.9
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,33,265,1.006,0,85.3,ممتازة,14.7
1HDnFNYV,طلب النقض 23-09-1445 ـ رقم 45117602 ـ مح,34,238,1.011,0,85.6,ممتازة,14.4
